Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Flow Order,Chrome 128.0.0.0,,,19-09-2024 05:27:59,19-09-2024 05:29:53,1m - 53.581s,PASSED
,,,,,,,
Test Cases/TC User/Login,Chrome 128.0.0.0,,,19-09-2024 05:28:00,19-09-2024 05:28:16,16.408s,PASSED
"openBrowser("""")",Chrome 128.0.0.0,,,19-09-2024 05:28:03,19-09-2024 05:28:07,4.265s,PASSED
navigateToUrl(siteURL),Chrome 128.0.0.0,,,19-09-2024 05:28:07,19-09-2024 05:28:12,4.701s,PASSED
"click(findTestObject(""Language/button_Dismiss""))",Chrome 128.0.0.0,,,19-09-2024 05:28:12,19-09-2024 05:28:12,0.630s,PASSED
"click(findTestObject(""Language/a_cookies btn""))",Chrome 128.0.0.0,,,19-09-2024 05:28:12,19-09-2024 05:28:13,0.482s,PASSED
"click(findTestObject(""Object Repository/Login/button_account""))",Chrome 128.0.0.0,,,19-09-2024 05:28:13,19-09-2024 05:28:13,0.402s,PASSED
"click(findTestObject(""Object Repository/Login/button_Login Menu""))",Chrome 128.0.0.0,,,19-09-2024 05:28:13,19-09-2024 05:28:14,0.648s,PASSED
"click(findTestObject(""Object Repository/Login/div_Input Email""))",Chrome 128.0.0.0,,,19-09-2024 05:28:14,19-09-2024 05:28:15,0.712s,PASSED
"setText(findTestObject(""Object Repository/Login/input_Login_email""), username)",Chrome 128.0.0.0,,,19-09-2024 05:28:15,19-09-2024 05:28:15,0.784s,PASSED
"click(findTestObject(""Object Repository/Login/div_Password""))",Chrome 128.0.0.0,,,19-09-2024 05:28:15,19-09-2024 05:28:16,0.362s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Login/input_Password""), password)",Chrome 128.0.0.0,,,19-09-2024 05:28:16,19-09-2024 05:28:16,0.431s,PASSED
"click(findTestObject(""Object Repository/Login/button_Login""))",Chrome 128.0.0.0,,,19-09-2024 05:28:16,19-09-2024 05:28:16,0.315s,PASSED
,,,,,,,
Test Cases/TC User/Add to cart,Chrome 128.0.0.0,,,19-09-2024 05:28:16,19-09-2024 05:28:23,6.392s,PASSED
"click(findTestObject(""Object Repository/Search/mat-icon_search""))",Chrome 128.0.0.0,,,19-09-2024 05:28:17,19-09-2024 05:28:18,0.681s,PASSED
