Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
registrasi,Chrome 128.0.0.0,,,15-09-2024 08:23:11,15-09-2024 08:42:22,19m - 10.709s,FAILED
,,,,,,,
Test Cases/TC User/Registrasi,Chrome 128.0.0.0,,,15-09-2024 08:28:25,15-09-2024 08:29:16,51.174s,FAILED
"openBrowser("""")",Chrome 128.0.0.0,,,15-09-2024 08:28:25,15-09-2024 08:28:26,0.972s,PASSED
navigateToUrl(siteURL),Chrome 128.0.0.0,,,15-09-2024 08:28:26,15-09-2024 08:28:37,11.854s,PASSED
"click(findTestObject(""Language/button_Dismiss""))",Chrome 128.0.0.0,,,15-09-2024 08:28:37,15-09-2024 08:28:38,0.507s,PASSED
"click(findTestObject(""Language/a_cookies btn""))",Chrome 128.0.0.0,,,15-09-2024 08:28:38,15-09-2024 08:28:38,0.488s,PASSED
"click(findTestObject(""Object Repository/Register/span_Account""))",Chrome 128.0.0.0,,,15-09-2024 08:28:38,15-09-2024 08:28:39,0.347s,PASSED
"click(findTestObject(""Object Repository/Register/span_Login""))",Chrome 128.0.0.0,,,15-09-2024 08:28:39,15-09-2024 08:28:39,0.604s,PASSED
"click(findTestObject(""Object Repository/Register/a_Registrasi Btn""))",Chrome 128.0.0.0,,,15-09-2024 08:28:39,15-09-2024 08:28:40,0.756s,PASSED
"click(findTestObject(""Object Repository/Register/div_Email""))",Chrome 128.0.0.0,,,15-09-2024 08:28:40,15-09-2024 08:28:41,0.525s,PASSED
"setText(findTestObject(""Object Repository/Register/input_User Registration_emailControl""), email)",Chrome 128.0.0.0,,,15-09-2024 08:28:41,15-09-2024 08:28:41,0.639s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Register/input_Email_passwordControl""), password)",Chrome 128.0.0.0,,,15-09-2024 08:28:41,15-09-2024 08:28:42,0.330s,PASSED
