Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Cek Halaman Website,Chrome 128.0.0.0,,,15-09-2024 10:09:27,15-09-2024 10:12:00,2m - 32.621s,PASSED
,,,,,,,
Test Cases/TC Product/Change language,Chrome 128.0.0.0,,,15-09-2024 10:09:28,15-09-2024 10:09:38,10.675s,PASSED
"openBrowser("""")",Chrome 128.0.0.0,,,15-09-2024 10:09:28,15-09-2024 10:09:30,2.000s,PASSED
navigateToUrl(siteURL),Chrome 128.0.0.0,,,15-09-2024 10:09:30,15-09-2024 10:09:35,5.215s,PASSED
"click(findTestObject(""Object Repository/Language/button_Dismiss""))",Chrome 128.0.0.0,,,15-09-2024 10:09:35,15-09-2024 10:09:36,0.613s,PASSED
"click(findTestObject(""Object Repository/Language/a_cookies btn""))",Chrome 128.0.0.0,,,15-09-2024 10:09:36,15-09-2024 10:09:36,0.516s,PASSED
"click(findTestObject(""Object Repository/Language/button_language""))",Chrome 128.0.0.0,,,15-09-2024 10:09:36,15-09-2024 10:09:37,0.643s,PASSED
"click(findTestObject(""Object Repository/Language/div_Bahasa Indonesia""))",Chrome 128.0.0.0,,,15-09-2024 10:09:37,15-09-2024 10:09:37,0.571s,PASSED
"verifyElementVisible(findTestObject(""Object Repository/Language/label Language""))",Chrome 128.0.0.0,,,15-09-2024 10:09:37,15-09-2024 10:09:38,0.805s,PASSED
,,,,,,,
Test Cases/TC Product/Search Product,Chrome 128.0.0.0,,,15-09-2024 10:09:38,15-09-2024 10:10:21,42.921s,PASSED
"openBrowser("""")",Chrome 128.0.0.0,,,15-09-2024 10:09:39,15-09-2024 10:09:40,1.728s,PASSED
navigateToUrl(siteURL),Chrome 128.0.0.0,,,15-09-2024 10:09:40,15-09-2024 10:09:46,5.215s,PASSED
"click(findTestObject(""Object Repository/Search/span_Dismiss""))",Chrome 128.0.0.0,,,15-09-2024 10:09:46,15-09-2024 10:09:46,0.506s,PASSED
"click(findTestObject(""Object Repository/Search/a_Me want it""))",Chrome 128.0.0.0,,,15-09-2024 10:09:46,15-09-2024 10:09:47,0.561s,PASSED
"click(findTestObject(""Object Repository/Search/mat-icon_search""))",Chrome 128.0.0.0,,,15-09-2024 10:09:47,15-09-2024 10:09:47,0.302s,PASSED
"setText(findTestObject(""Object Repository/Search/input_OWASP Juice Shop_mat-input-0""), ""Apple Juice"")",Chrome 128.0.0.0,,,15-09-2024 10:09:47,15-09-2024 10:09:48,0.867s,PASSED
"sendKeys(findTestObject(""Object Repository/Search/input_OWASP Juice Shop_mat-input-0""), Keys.chord(ENTER))",Chrome 128.0.0.0,,,15-09-2024 10:09:48,15-09-2024 10:09:48,0.325s,PASSED
"click(findTestObject(""Object Repository/Search/div_Banana Juice (1000ml)""))",Chrome 128.0.0.0,,,15-09-2024 10:09:48,15-09-2024 10:10:20,31.379s,PASSED
"click(findTestObject(""Object Repository/Search/i_close""))",Chrome 128.0.0.0,,,15-09-2024 10:10:20,15-09-2024 10:10:21,1.259s,PASSED
closeBrowser(),Chrome 128.0.0.0,,,15-09-2024 10:10:21,15-09-2024 10:10:21,0.408s,PASSED
,,,,,,,
Test Cases/TC Product/Search Product,Chrome 128.0.0.0,,,15-09-2024 10:10:21,15-09-2024 10:11:07,45.268s,PASSED
"openBrowser("""")",Chrome 128.0.0.0,,,15-09-2024 10:10:21,15-09-2024 10:10:23,1.250s,PASSED
navigateToUrl(siteURL),Chrome 128.0.0.0,,,15-09-2024 10:10:23,15-09-2024 10:10:28,4.926s,PASSED
"click(findTestObject(""Object Repository/Search/span_Dismiss""))",Chrome 128.0.0.0,,,15-09-2024 10:10:28,15-09-2024 10:10:28,0.581s,PASSED
"click(findTestObject(""Object Repository/Search/a_Me want it""))",Chrome 128.0.0.0,,,15-09-2024 10:10:28,15-09-2024 10:10:29,0.550s,PASSED
"click(findTestObject(""Object Repository/Search/mat-icon_search""))",Chrome 128.0.0.0,,,15-09-2024 10:10:29,15-09-2024 10:10:29,0.300s,PASSED
"setText(findTestObject(""Object Repository/Search/input_OWASP Juice Shop_mat-input-0""), ""Apple Juice"")",Chrome 128.0.0.0,,,15-09-2024 10:10:29,15-09-2024 10:10:30,0.888s,PASSED
"sendKeys(findTestObject(""Object Repository/Search/input_OWASP Juice Shop_mat-input-0""), Keys.chord(ENTER))",Chrome 128.0.0.0,,,15-09-2024 10:10:30,15-09-2024 10:10:30,0.345s,PASSED
"click(findTestObject(""Object Repository/Search/div_Banana Juice (1000ml)""))",Chrome 128.0.0.0,,,15-09-2024 10:10:30,15-09-2024 10:11:04,34.224s,PASSED
"click(findTestObject(""Object Repository/Search/i_close""))",Chrome 128.0.0.0,,,15-09-2024 10:11:04,15-09-2024 10:11:06,1.944s,PASSED
closeBrowser(),Chrome 128.0.0.0,,,15-09-2024 10:11:06,15-09-2024 10:11:07,0.211s,PASSED
,,,,,,,
Test Cases/TC Product/Search Product,Chrome 128.0.0.0,,,15-09-2024 10:11:07,15-09-2024 10:11:49,42.379s,PASSED
"openBrowser("""")",Chrome 128.0.0.0,,,15-09-2024 10:11:07,15-09-2024 10:11:08,1.674s,PASSED
navigateToUrl(siteURL),Chrome 128.0.0.0,,,15-09-2024 10:11:08,15-09-2024 10:11:13,4.830s,PASSED
"click(findTestObject(""Object Repository/Search/span_Dismiss""))",Chrome 128.0.0.0,,,15-09-2024 10:11:13,15-09-2024 10:11:14,0.604s,PASSED
"click(findTestObject(""Object Repository/Search/a_Me want it""))",Chrome 128.0.0.0,,,15-09-2024 10:11:14,15-09-2024 10:11:14,0.571s,PASSED
"click(findTestObject(""Object Repository/Search/mat-icon_search""))",Chrome 128.0.0.0,,,15-09-2024 10:11:14,15-09-2024 10:11:15,0.328s,PASSED
"setText(findTestObject(""Object Repository/Search/input_OWASP Juice Shop_mat-input-0""), ""Apple Juice"")",Chrome 128.0.0.0,,,15-09-2024 10:11:15,15-09-2024 10:11:16,0.992s,PASSED
"sendKeys(findTestObject(""Object Repository/Search/input_OWASP Juice Shop_mat-input-0""), Keys.chord(ENTER))",Chrome 128.0.0.0,,,15-09-2024 10:11:16,15-09-2024 10:11:16,0.318s,PASSED
"click(findTestObject(""Object Repository/Search/div_Banana Juice (1000ml)""))",Chrome 128.0.0.0,,,15-09-2024 10:11:16,15-09-2024 10:11:47,31.423s,PASSED
