Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Flow Order,Chrome 128.0.0.0,,,15-09-2024 11:01:49,15-09-2024 11:03:44,1m - 55.373s,PASSED
,,,,,,,
Test Cases/TC User/Login,Chrome 128.0.0.0,,,15-09-2024 11:01:49,15-09-2024 11:02:01,12.042s,PASSED
"openBrowser("""")",Chrome 128.0.0.0,,,15-09-2024 11:01:50,15-09-2024 11:01:51,1.873s,PASSED
navigateToUrl(siteURL),Chrome 128.0.0.0,,,15-09-2024 11:01:51,15-09-2024 11:01:56,4.913s,PASSED
"click(findTestObject(""Language/button_Dismiss""))",Chrome 128.0.0.0,,,15-09-2024 11:01:56,15-09-2024 11:01:57,0.577s,PASSED
"click(findTestObject(""Language/a_cookies btn""))",Chrome 128.0.0.0,,,15-09-2024 11:01:57,15-09-2024 11:01:57,0.514s,PASSED
"click(findTestObject(""Object Repository/Login/button_account""))",Chrome 128.0.0.0,,,15-09-2024 11:01:57,15-09-2024 11:01:58,0.396s,PASSED
"click(findTestObject(""Object Repository/Login/button_Login Menu""))",Chrome 128.0.0.0,,,15-09-2024 11:01:58,15-09-2024 11:01:58,0.590s,PASSED
"click(findTestObject(""Object Repository/Login/div_Input Email""))",Chrome 128.0.0.0,,,15-09-2024 11:01:58,15-09-2024 11:01:59,0.750s,PASSED
"setText(findTestObject(""Object Repository/Login/input_Login_email""), username)",Chrome 128.0.0.0,,,15-09-2024 11:01:59,15-09-2024 11:02:00,0.720s,PASSED
"click(findTestObject(""Object Repository/Login/div_Password""))",Chrome 128.0.0.0,,,15-09-2024 11:02:00,15-09-2024 11:02:00,0.380s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Login/input_Password""), password)",Chrome 128.0.0.0,,,15-09-2024 11:02:00,15-09-2024 11:02:01,0.520s,PASSED
"click(findTestObject(""Object Repository/Login/button_Login""))",Chrome 128.0.0.0,,,15-09-2024 11:02:01,15-09-2024 11:02:01,0.368s,PASSED
,,,,,,,
Test Cases/TC User/Add to cart,Chrome 128.0.0.0,,,15-09-2024 11:02:01,15-09-2024 11:02:04,3.070s,PASSED
"click(findTestObject(""Object Repository/Search/mat-icon_search""))",Chrome 128.0.0.0,,,15-09-2024 11:02:02,15-09-2024 11:02:02,0.907s,PASSED
"setText(findTestObject(""Search/input_OWASP Juice Shop_mat-input-0""), buah)",Chrome 128.0.0.0,,,15-09-2024 11:02:02,15-09-2024 11:02:03,0.907s,PASSED
"sendKeys(findTestObject(""Search/input_OWASP Juice Shop_mat-input-0""), Keys.chord(ENTER))",Chrome 128.0.0.0,,,15-09-2024 11:02:03,15-09-2024 11:02:04,0.366s,PASSED
"click(findTestObject(""Object Repository/Cart/button_Add to Basket""))",Chrome 128.0.0.0,,,15-09-2024 11:02:04,15-09-2024 11:02:04,0.553s,PASSED
,,,,,,,
Test Cases/TC User/Add to cart,Chrome 128.0.0.0,,,15-09-2024 11:02:04,15-09-2024 11:03:05,1m - 1.127s,PASSED
"click(findTestObject(""Object Repository/Search/mat-icon_search""))",Chrome 128.0.0.0,,,15-09-2024 11:02:04,15-09-2024 11:02:31,26.843s,PASSED
"setText(findTestObject(""Search/input_OWASP Juice Shop_mat-input-0""), buah)",Chrome 128.0.0.0,,,15-09-2024 11:02:31,15-09-2024 11:02:32,0.889s,PASSED
"sendKeys(findTestObject(""Search/input_OWASP Juice Shop_mat-input-0""), Keys.chord(ENTER))",Chrome 128.0.0.0,,,15-09-2024 11:02:32,15-09-2024 11:02:32,0.367s,PASSED
"click(findTestObject(""Object Repository/Cart/button_Add to Basket""))",Chrome 128.0.0.0,,,15-09-2024 11:02:32,15-09-2024 11:03:05,32.988s,PASSED
,,,,,,,
Test Cases/TC User/Add to cart,Chrome 128.0.0.0,,,15-09-2024 11:03:05,15-09-2024 11:03:44,38.799s,PASSED
"click(findTestObject(""Object Repository/Search/mat-icon_search""))",Chrome 128.0.0.0,,,15-09-2024 11:03:06,15-09-2024 11:03:12,6.269s,PASSED
"setText(findTestObject(""Search/input_OWASP Juice Shop_mat-input-0""), buah)",Chrome 128.0.0.0,,,15-09-2024 11:03:12,15-09-2024 11:03:13,0.813s,PASSED
"sendKeys(findTestObject(""Search/input_OWASP Juice Shop_mat-input-0""), Keys.chord(ENTER))",Chrome 128.0.0.0,,,15-09-2024 11:03:13,15-09-2024 11:03:13,0.339s,PASSED
"click(findTestObject(""Object Repository/Cart/button_Add to Basket""))",Chrome 128.0.0.0,,,15-09-2024 11:03:13,15-09-2024 11:03:44,31.326s,PASSED
