Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Flow Order,Chrome 128.0.0.0,,,22-09-2024 15:08:42,22-09-2024 15:09:18,36.253s,FAILED
,,,,,,,
Test Cases/TC User/Registrasi,Chrome 128.0.0.0,,,22-09-2024 15:08:42,22-09-2024 15:09:03,21.025s,PASSED
"openBrowser("""")",Chrome 128.0.0.0,,,22-09-2024 15:08:43,22-09-2024 15:08:46,3.101s,PASSED
navigateToUrl(siteURL),Chrome 128.0.0.0,,,22-09-2024 15:08:46,22-09-2024 15:08:52,5.837s,PASSED
"click(findTestObject(""Language/button_Dismiss""))",Chrome 128.0.0.0,,,22-09-2024 15:08:52,22-09-2024 15:08:52,0.758s,PASSED
"click(findTestObject(""Language/a_cookies btn""))",Chrome 128.0.0.0,,,22-09-2024 15:08:52,22-09-2024 15:08:53,0.728s,PASSED
"click(findTestObject(""Object Repository/Register/span_Account""))",Chrome 128.0.0.0,,,22-09-2024 15:08:53,22-09-2024 15:08:54,0.550s,PASSED
"click(findTestObject(""Object Repository/Register/span_Login""))",Chrome 128.0.0.0,,,22-09-2024 15:08:54,22-09-2024 15:08:54,0.593s,PASSED
"click(findTestObject(""Object Repository/Register/a_Registrasi Btn""))",Chrome 128.0.0.0,,,22-09-2024 15:08:54,22-09-2024 15:08:55,1.064s,PASSED
"click(findTestObject(""Object Repository/Register/div_Email""))",Chrome 128.0.0.0,,,22-09-2024 15:08:55,22-09-2024 15:08:56,0.526s,PASSED
"setText(findTestObject(""Object Repository/Register/input_User Registration_emailControl""), email)",Chrome 128.0.0.0,,,22-09-2024 15:08:56,22-09-2024 15:08:57,0.812s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Register/input_Email_passwordControl""), password)",Chrome 128.0.0.0,,,22-09-2024 15:08:57,22-09-2024 15:08:57,0.479s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Register/input_Password must be 5-40 characters long_eeca64""), repassword)",Chrome 128.0.0.0,,,22-09-2024 15:08:57,22-09-2024 15:08:57,0.413s,PASSED
"verifyElementVisible(findTestObject(""Object Repository/Register/span_Repeat Password_mat-slide-toggle-bar""))",Chrome 128.0.0.0,,,22-09-2024 15:08:57,22-09-2024 15:08:58,0.383s,PASSED
if (passworddetail == true),Chrome 128.0.0.0,,,22-09-2024 15:08:58,22-09-2024 15:08:58,0.402s,PASSED
if (passworddetail == true),Chrome 128.0.0.0,,,22-09-2024 15:08:58,22-09-2024 15:08:59,0.477s,PASSED
"click(findTestObject(""Register/div_Security Question""))",Chrome 128.0.0.0,,,22-09-2024 15:08:59,22-09-2024 15:08:59,0.388s,PASSED
"click(findTestObject(""Register/span_Your eldest siblings middle name""))",Chrome 128.0.0.0,,,22-09-2024 15:08:59,22-09-2024 15:09:00,0.627s,PASSED
"setText(findTestObject(""Object Repository/Register/input_This cannot be changed later_security_f37fc9""), answer)",Chrome 128.0.0.0,,,22-09-2024 15:09:00,22-09-2024 15:09:01,0.925s,PASSED
"click(findTestObject(""Object Repository/Register/button_Register""))",Chrome 128.0.0.0,,,22-09-2024 15:09:01,22-09-2024 15:09:01,0.375s,PASSED
"verifyElementPresent(findTestObject(""Login/h1_Login""), 0)",Chrome 128.0.0.0,,,22-09-2024 15:09:01,22-09-2024 15:09:02,1.380s,PASSED
closeBrowser(),Chrome 128.0.0.0,,,22-09-2024 15:09:02,22-09-2024 15:09:03,0.381s,PASSED
,,,,,,,
Test Cases/TC User/Add to cart,Chrome 128.0.0.0,,,22-09-2024 15:09:03,22-09-2024 15:09:04,1.505s,FAILED
"click(findTestObject(""Object Repository/Search/mat-icon_search""))",Chrome 128.0.0.0,,,22-09-2024 15:09:03,22-09-2024 15:09:04,1.109s,FAILED
,,,,,,,
Test Cases/TC User/Add to cart,Chrome 128.0.0.0,,,22-09-2024 15:09:04,22-09-2024 15:09:06,1.141s,FAILED
"click(findTestObject(""Object Repository/Search/mat-icon_search""))",Chrome 128.0.0.0,,,22-09-2024 15:09:04,22-09-2024 15:09:06,1.083s,FAILED
,,,,,,,
Test Cases/TC User/Add to cart,Chrome 128.0.0.0,,,22-09-2024 15:09:06,22-09-2024 15:09:07,1.122s,FAILED
"click(findTestObject(""Object Repository/Search/mat-icon_search""))",Chrome 128.0.0.0,,,22-09-2024 15:09:06,22-09-2024 15:09:07,1.059s,FAILED
,,,,,,,
Test Cases/TC User/Login,Chrome 128.0.0.0,,,22-09-2024 15:09:07,22-09-2024 15:09:18,11.083s,PASSED
"openBrowser("""")",Chrome 128.0.0.0,,,22-09-2024 15:09:07,22-09-2024 15:09:08,1.309s,PASSED
navigateToUrl(siteURL),Chrome 128.0.0.0,,,22-09-2024 15:09:08,22-09-2024 15:09:09,0.929s,PASSED
"click(findTestObject(""Language/button_Dismiss""))",Chrome 128.0.0.0,,,22-09-2024 15:09:09,22-09-2024 15:09:14,4.600s,PASSED
"click(findTestObject(""Language/a_cookies btn""))",Chrome 128.0.0.0,,,22-09-2024 15:09:14,22-09-2024 15:09:14,0.511s,PASSED
"click(findTestObject(""Object Repository/Login/button_account""))",Chrome 128.0.0.0,,,22-09-2024 15:09:14,22-09-2024 15:09:15,0.351s,PASSED
"click(findTestObject(""Object Repository/Login/button_Login Menu""))",Chrome 128.0.0.0,,,22-09-2024 15:09:15,22-09-2024 15:09:15,0.587s,PASSED
"click(findTestObject(""Object Repository/Login/div_Input Email""))",Chrome 128.0.0.0,,,22-09-2024 15:09:15,22-09-2024 15:09:16,0.663s,PASSED
"setText(findTestObject(""Object Repository/Login/input_Login_email""), username)",Chrome 128.0.0.0,,,22-09-2024 15:09:16,22-09-2024 15:09:17,0.720s,PASSED
"click(findTestObject(""Object Repository/Login/div_Password""))",Chrome 128.0.0.0,,,22-09-2024 15:09:17,22-09-2024 15:09:17,0.380s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Login/input_Password""), password)",Chrome 128.0.0.0,,,22-09-2024 15:09:17,22-09-2024 15:09:17,0.352s,PASSED
"click(findTestObject(""Object Repository/Login/button_Login""))",Chrome 128.0.0.0,,,22-09-2024 15:09:17,22-09-2024 15:09:18,0.363s,PASSED
