Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Flow Order,Chrome 128.0.0.0,,,22-09-2024 15:10:38,22-09-2024 15:14:00,3m - 21.650s,FAILED
,,,,,,,
Test Cases/TC User/Registrasi,Chrome 128.0.0.0,,,22-09-2024 15:10:39,22-09-2024 15:11:18,39.320s,PASSED
"openBrowser("""")",Chrome 128.0.0.0,,,22-09-2024 15:10:40,22-09-2024 15:10:42,2.638s,PASSED
navigateToUrl(siteURL),Chrome 128.0.0.0,,,22-09-2024 15:10:42,22-09-2024 15:10:43,1.064s,PASSED
"click(findTestObject(""Language/button_Dismiss""))",Chrome 128.0.0.0,,,22-09-2024 15:10:43,22-09-2024 15:10:47,3.395s,PASSED
"click(findTestObject(""Language/a_cookies btn""))",Chrome 128.0.0.0,,,22-09-2024 15:10:47,22-09-2024 15:10:47,0.574s,PASSED
"click(findTestObject(""Object Repository/Register/span_Account""))",Chrome 128.0.0.0,,,22-09-2024 15:10:47,22-09-2024 15:10:48,0.332s,PASSED
"click(findTestObject(""Object Repository/Register/span_Login""))",Chrome 128.0.0.0,,,22-09-2024 15:10:48,22-09-2024 15:10:48,0.576s,PASSED
"click(findTestObject(""Object Repository/Register/a_Registrasi Btn""))",Chrome 128.0.0.0,,,22-09-2024 15:10:48,22-09-2024 15:10:51,3.032s,PASSED
"click(findTestObject(""Object Repository/Register/div_Email""))",Chrome 128.0.0.0,,,22-09-2024 15:10:51,22-09-2024 15:10:53,1.750s,PASSED
"setText(findTestObject(""Object Repository/Register/input_User Registration_emailControl""), email)",Chrome 128.0.0.0,,,22-09-2024 15:10:53,22-09-2024 15:10:57,4.056s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Register/input_Email_passwordControl""), password)",Chrome 128.0.0.0,,,22-09-2024 15:10:57,22-09-2024 15:10:59,2.040s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Register/input_Password must be 5-40 characters long_eeca64""), repassword)",Chrome 128.0.0.0,,,22-09-2024 15:10:59,22-09-2024 15:11:01,1.942s,PASSED
"verifyElementVisible(findTestObject(""Object Repository/Register/span_Repeat Password_mat-slide-toggle-bar""))",Chrome 128.0.0.0,,,22-09-2024 15:11:01,22-09-2024 15:11:03,1.920s,PASSED
if (passworddetail == true),Chrome 128.0.0.0,,,22-09-2024 15:11:03,22-09-2024 15:11:03,0.002s,PASSED
if (passworddetail == true),Chrome 128.0.0.0,,,22-09-2024 15:11:03,22-09-2024 15:11:03,0.002s,PASSED
else,Chrome 128.0.0.0,,,22-09-2024 15:11:03,22-09-2024 15:11:05,1.984s,PASSED
"click(findTestObject(""Register/div_Security Question""))",Chrome 128.0.0.0,,,22-09-2024 15:11:05,22-09-2024 15:11:07,2.068s,PASSED
"click(findTestObject(""Register/span_Your eldest siblings middle name""))",Chrome 128.0.0.0,,,22-09-2024 15:11:07,22-09-2024 15:11:09,1.982s,PASSED
