Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Flow Order,Chrome 128.0.0.0,,,15-09-2024 10:50:41,15-09-2024 10:52:08,1m - 26.657s,FAILED
,,,,,,,
Test Cases/TC User/Login,Chrome 128.0.0.0,,,15-09-2024 10:50:41,15-09-2024 10:50:54,12.280s,PASSED
"openBrowser("""")",Chrome 128.0.0.0,,,15-09-2024 10:50:42,15-09-2024 10:50:44,1.887s,PASSED
navigateToUrl(siteURL),Chrome 128.0.0.0,,,15-09-2024 10:50:44,15-09-2024 10:50:49,5.233s,PASSED
"click(findTestObject(""Language/button_Dismiss""))",Chrome 128.0.0.0,,,15-09-2024 10:50:49,15-09-2024 10:50:49,0.628s,PASSED
"click(findTestObject(""Language/a_cookies btn""))",Chrome 128.0.0.0,,,15-09-2024 10:50:49,15-09-2024 10:50:50,0.491s,PASSED
"click(findTestObject(""Object Repository/Login/button_account""))",Chrome 128.0.0.0,,,15-09-2024 10:50:50,15-09-2024 10:50:50,0.344s,PASSED
"click(findTestObject(""Object Repository/Login/button_Login Menu""))",Chrome 128.0.0.0,,,15-09-2024 10:50:50,15-09-2024 10:50:51,0.601s,PASSED
"click(findTestObject(""Object Repository/Login/div_Input Email""))",Chrome 128.0.0.0,,,15-09-2024 10:50:51,15-09-2024 10:50:52,0.764s,PASSED
"setText(findTestObject(""Object Repository/Login/input_Login_email""), username)",Chrome 128.0.0.0,,,15-09-2024 10:50:52,15-09-2024 10:50:52,0.734s,PASSED
"click(findTestObject(""Object Repository/Login/div_Password""))",Chrome 128.0.0.0,,,15-09-2024 10:50:52,15-09-2024 10:50:53,0.363s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Login/input_Password""), password)",Chrome 128.0.0.0,,,15-09-2024 10:50:53,15-09-2024 10:50:53,0.495s,PASSED
"click(findTestObject(""Object Repository/Login/button_Login""))",Chrome 128.0.0.0,,,15-09-2024 10:50:53,15-09-2024 10:50:54,0.308s,PASSED
,,,,,,,
Test Cases/TC Product/Search Product,Chrome 128.0.0.0,,,15-09-2024 10:50:54,15-09-2024 10:50:56,2.352s,PASSED
"click(findTestObject(""Object Repository/Search/mat-icon_search""))",Chrome 128.0.0.0,,,15-09-2024 10:50:54,15-09-2024 10:50:55,0.740s,PASSED
"setText(findTestObject(""Object Repository/Search/input_OWASP Juice Shop_mat-input-0""), buah)",Chrome 128.0.0.0,,,15-09-2024 10:50:55,15-09-2024 10:50:56,0.928s,PASSED
"sendKeys(findTestObject(""Object Repository/Search/input_OWASP Juice Shop_mat-input-0""), Keys.chord(ENTER))",Chrome 128.0.0.0,,,15-09-2024 10:50:56,15-09-2024 10:50:56,0.352s,PASSED
,,,,,,,
Test Cases/TC Product/Search Product,Chrome 128.0.0.0,,,15-09-2024 10:50:56,15-09-2024 10:51:30,33.597s,FAILED
"click(findTestObject(""Object Repository/Search/mat-icon_search""))",Chrome 128.0.0.0,,,15-09-2024 10:50:56,15-09-2024 10:51:30,33.537s,FAILED
,,,,,,,
Test Cases/TC Product/Search Product,Chrome 128.0.0.0,,,15-09-2024 10:51:30,15-09-2024 10:52:03,33.377s,FAILED
"click(findTestObject(""Object Repository/Search/mat-icon_search""))",Chrome 128.0.0.0,,,15-09-2024 10:51:30,15-09-2024 10:52:03,33.309s,FAILED
,,,,,,,
Test Cases/TC User/Add to cart,Chrome 128.0.0.0,,,15-09-2024 10:52:03,15-09-2024 10:52:08,4.734s,PASSED
"click(findTestObject(""Object Repository/Cart/button_Add to Basket""))",Chrome 128.0.0.0,,,15-09-2024 10:52:03,15-09-2024 10:52:04,0.369s,PASSED
"click(findTestObject(""Object Repository/Cart/span_1""))",Chrome 128.0.0.0,,,15-09-2024 10:52:04,15-09-2024 10:52:07,3.804s,PASSED
closeBrowser(),Chrome 128.0.0.0,,,15-09-2024 10:52:07,15-09-2024 10:52:08,0.422s,PASSED
